date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2021-01-01;2021;1;1;4;1;53;False;False;False
2021-01-02;2021;1;2;5;2;53;True;False;False
2021-01-03;2021;1;3;6;3;53;True;False;False
2021-01-04;2021;1;4;0;4;1;False;False;False
2021-01-05;2021;1;5;1;5;1;False;False;False
2021-01-06;2021;1;6;2;6;1;False;False;False
2021-01-07;2021;1;7;3;7;1;False;False;False
2021-01-08;2021;1;8;4;8;1;False;False;False
2021-01-09;2021;1;9;5;9;1;True;False;False
2021-01-10;2021;1;10;6;10;1;True;False;False
2021-01-11;2021;1;11;0;11;2;False;False;False
2021-01-12;2021;1;12;1;12;2;False;False;False
2021-01-13;2021;1;13;2;13;2;False;False;False
2021-01-14;2021;1;14;3;14;2;False;False;False
2021-01-15;2021;1;15;4;15;2;False;False;False
2021-01-16;2021;1;16;5;16;2;True;False;False
2021-01-17;2021;1;17;6;17;2;True;False;False
2021-01-18;2021;1;18;0;18;3;False;False;False
2021-01-19;2021;1;19;1;19;3;False;False;False
2021-01-20;2021;1;20;2;20;3;False;False;False
2021-01-21;2021;1;21;3;21;3;False;False;False
2021-01-22;2021;1;22;4;22;3;False;False;False
2021-01-23;2021;1;23;5;23;3;True;False;False
2021-01-24;2021;1;24;6;24;3;True;False;False
2021-01-25;2021;1;25;0;25;4;False;False;False
2021-01-26;2021;1;26;1;26;4;False;False;False
2021-01-27;2021;1;27;2;27;4;False;False;False
2021-01-28;2021;1;28;3;28;4;False;False;False
2021-01-29;2021;1;29;4;29;4;False;False;False
2021-01-30;2021;1;30;5;30;4;True;False;False
2021-01-31;2021;1;31;6;31;4;True;False;False
2021-02-01;2021;2;1;0;32;5;False;False;False
2021-02-02;2021;2;2;1;33;5;False;False;False
2021-02-03;2021;2;3;2;34;5;False;False;False
2021-02-04;2021;2;4;3;35;5;False;False;False
2021-02-05;2021;2;5;4;36;5;False;False;False
2021-02-06;2021;2;6;5;37;5;True;False;False
2021-02-07;2021;2;7;6;38;5;True;False;False
2021-02-08;2021;2;8;0;39;6;False;False;False
2021-02-09;2021;2;9;1;40;6;False;False;False
2021-02-10;2021;2;10;2;41;6;False;False;False
2021-02-11;2021;2;11;3;42;6;False;False;False
2021-02-12;2021;2;12;4;43;6;False;False;False
2021-02-13;2021;2;13;5;44;6;True;False;False
2021-02-14;2021;2;14;6;45;6;True;False;False
2021-02-15;2021;2;15;0;46;7;False;False;False
2021-02-16;2021;2;16;1;47;7;False;False;False
2021-02-17;2021;2;17;2;48;7;False;False;False
2021-02-18;2021;2;18;3;49;7;False;False;False
2021-02-19;2021;2;19;4;50;7;False;False;False
2021-02-20;2021;2;20;5;51;7;True;False;False
2021-02-21;2021;2;21;6;52;7;True;False;False
2021-02-22;2021;2;22;0;53;8;False;False;False
2021-02-23;2021;2;23;1;54;8;False;False;False
2021-02-24;2021;2;24;2;55;8;False;False;False
2021-02-25;2021;2;25;3;56;8;False;False;False
2021-02-26;2021;2;26;4;57;8;False;False;False
2021-02-27;2021;2;27;5;58;8;True;False;False
2021-02-28;2021;2;28;6;59;8;True;False;False
2021-03-01;2021;3;1;0;60;9;False;False;False
2021-03-02;2021;3;2;1;61;9;False;False;False
2021-03-03;2021;3;3;2;62;9;False;False;False
2021-03-04;2021;3;4;3;63;9;False;False;False
2021-03-05;2021;3;5;4;64;9;False;False;False
2021-03-06;2021;3;6;5;65;9;True;False;False
2021-03-07;2021;3;7;6;66;9;True;False;False
2021-03-08;2021;3;8;0;67;10;False;False;False
2021-03-09;2021;3;9;1;68;10;False;False;False
2021-03-10;2021;3;10;2;69;10;False;False;False
2021-03-11;2021;3;11;3;70;10;False;False;False
2021-03-12;2021;3;12;4;71;10;False;False;False
2021-03-13;2021;3;13;5;72;10;True;False;False
2021-03-14;2021;3;14;6;73;10;True;False;False
2021-03-15;2021;3;15;0;74;11;False;False;False
2021-03-16;2021;3;16;1;75;11;False;False;False
2021-03-17;2021;3;17;2;76;11;False;False;False
2021-03-18;2021;3;18;3;77;11;False;False;False
2021-03-19;2021;3;19;4;78;11;False;False;False
2021-03-20;2021;3;20;5;79;11;True;False;False
2021-03-21;2021;3;21;6;80;11;True;False;False
2021-03-22;2021;3;22;0;81;12;False;False;False
2021-03-23;2021;3;23;1;82;12;False;False;False
2021-03-24;2021;3;24;2;83;12;False;False;False
2021-03-25;2021;3;25;3;84;12;False;False;False
2021-03-26;2021;3;26;4;85;12;False;False;False
2021-03-27;2021;3;27;5;86;12;True;False;False
2021-03-28;2021;3;28;6;87;12;True;False;False
2021-03-29;2021;3;29;0;88;13;False;False;False
2021-03-30;2021;3;30;1;89;13;False;False;False
2021-03-31;2021;3;31;2;90;13;False;False;False
2021-04-01;2021;4;1;3;91;13;False;False;False
2021-04-02;2021;4;2;4;92;13;False;False;False
2021-04-03;2021;4;3;5;93;13;True;False;False
2021-04-04;2021;4;4;6;94;13;True;False;False
2021-04-05;2021;4;5;0;95;14;False;False;False
2021-04-06;2021;4;6;1;96;14;False;False;False
2021-04-07;2021;4;7;2;97;14;False;False;False
2021-04-08;2021;4;8;3;98;14;False;False;False
2021-04-09;2021;4;9;4;99;14;False;False;False
2021-04-10;2021;4;10;5;100;14;True;False;False
2021-04-11;2021;4;11;6;101;14;True;False;False
2021-04-12;2021;4;12;0;102;15;False;False;False
2021-04-13;2021;4;13;1;103;15;False;False;False
2021-04-14;2021;4;14;2;104;15;False;False;False
2021-04-15;2021;4;15;3;105;15;False;False;False
2021-04-16;2021;4;16;4;106;15;False;False;False
2021-04-17;2021;4;17;5;107;15;True;False;False
2021-04-18;2021;4;18;6;108;15;True;False;False
2021-04-19;2021;4;19;0;109;16;False;False;False
2021-04-20;2021;4;20;1;110;16;False;False;False
