date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2023-04-16;2023;4;16;6;106;15;True;False;False
2023-04-17;2023;4;17;0;107;16;False;False;False
2023-04-18;2023;4;18;1;108;16;False;False;False
2023-04-19;2023;4;19;2;109;16;False;False;False
2023-04-20;2023;4;20;3;110;16;False;False;False
2023-04-21;2023;4;21;4;111;16;False;False;True
2023-04-22;2023;4;22;5;112;16;True;False;True
2023-04-23;2023;4;23;6;113;16;True;False;True
2023-04-24;2023;4;24;0;114;17;False;False;False
2023-04-25;2023;4;25;1;115;17;False;False;False
2023-04-26;2023;4;26;2;116;17;False;False;False
2023-04-27;2023;4;27;3;117;17;False;False;False
2023-04-28;2023;4;28;4;118;17;False;False;False
2023-04-29;2023;4;29;5;119;17;True;False;False
2023-04-30;2023;4;30;6;120;17;True;False;False
2023-05-01;2023;5;1;0;121;18;False;False;False
2023-05-02;2023;5;2;1;122;18;False;False;False
2023-05-03;2023;5;3;2;123;18;False;False;False
2023-05-04;2023;5;4;3;124;18;False;False;False
2023-05-05;2023;5;5;4;125;18;False;False;False
2023-05-06;2023;5;6;5;126;18;True;False;False
2023-05-07;2023;5;7;6;127;18;True;False;False
2023-05-08;2023;5;8;0;128;19;False;False;False
2023-05-09;2023;5;9;1;129;19;False;False;False
2023-05-10;2023;5;10;2;130;19;False;False;False
2023-05-11;2023;5;11;3;131;19;False;False;False
2023-05-12;2023;5;12;4;132;19;False;False;False
2023-05-13;2023;5;13;5;133;19;True;False;False
2023-05-14;2023;5;14;6;134;19;True;False;False
2023-05-15;2023;5;15;0;135;20;False;False;False
2023-05-16;2023;5;16;1;136;20;False;False;False
2023-05-17;2023;5;17;2;137;20;False;False;False
2023-05-18;2023;5;18;3;138;20;False;False;False
2023-05-19;2023;5;19;4;139;20;False;False;False
2023-05-20;2023;5;20;5;140;20;True;False;False
2023-05-21;2023;5;21;6;141;20;True;False;False
2023-05-22;2023;5;22;0;142;21;False;False;False
2023-05-23;2023;5;23;1;143;21;False;False;False
2023-05-24;2023;5;24;2;144;21;False;False;False
2023-05-25;2023;5;25;3;145;21;False;False;False
2023-05-26;2023;5;26;4;146;21;False;False;False
2023-05-27;2023;5;27;5;147;21;True;False;False
2023-05-28;2023;5;28;6;148;21;True;False;False
2023-05-29;2023;5;29;0;149;22;False;False;False
2023-05-30;2023;5;30;1;150;22;False;False;False
2023-05-31;2023;5;31;2;151;22;False;False;False
2023-06-01;2023;6;1;3;152;22;False;True;False
2023-06-02;2023;6;2;4;153;22;False;True;False
2023-06-03;2023;6;3;5;154;22;True;True;False
2023-06-04;2023;6;4;6;155;22;True;True;False
2023-06-05;2023;6;5;0;156;23;False;True;False
2023-06-06;2023;6;6;1;157;23;False;True;False
2023-06-07;2023;6;7;2;158;23;False;True;False
2023-06-08;2023;6;8;3;159;23;False;True;False
2023-06-09;2023;6;9;4;160;23;False;True;False
2023-06-10;2023;6;10;5;161;23;True;True;False
2023-06-11;2023;6;11;6;162;23;True;True;False
2023-06-12;2023;6;12;0;163;24;False;True;False
2023-06-13;2023;6;13;1;164;24;False;True;False
2023-06-14;2023;6;14;2;165;24;False;True;False
2023-06-15;2023;6;15;3;166;24;False;True;False
2023-06-16;2023;6;16;4;167;24;False;True;False
2023-06-17;2023;6;17;5;168;24;True;True;False
2023-06-18;2023;6;18;6;169;24;True;True;False
2023-06-19;2023;6;19;0;170;25;False;True;False
2023-06-20;2023;6;20;1;171;25;False;True;False
2023-06-21;2023;6;21;2;172;25;False;True;False
2023-06-22;2023;6;22;3;173;25;False;True;False
2023-06-23;2023;6;23;4;174;25;False;True;False
2023-06-24;2023;6;24;5;175;25;True;True;False
2023-06-25;2023;6;25;6;176;25;True;True;False
2023-06-26;2023;6;26;0;177;26;False;True;False
2023-06-27;2023;6;27;1;178;26;False;True;False
2023-06-28;2023;6;28;2;179;26;False;True;False
2023-06-29;2023;6;29;3;180;26;False;True;False
2023-06-30;2023;6;30;4;181;26;False;True;False
2023-07-01;2023;7;1;5;182;26;True;True;False
2023-07-02;2023;7;2;6;183;26;True;True;False
2023-07-03;2023;7;3;0;184;27;False;True;False
2023-07-04;2023;7;4;1;185;27;False;True;False
2023-07-05;2023;7;5;2;186;27;False;True;False
2023-07-06;2023;7;6;3;187;27;False;True;False
2023-07-07;2023;7;7;4;188;27;False;True;False
2023-07-08;2023;7;8;5;189;27;True;True;False
2023-07-09;2023;7;9;6;190;27;True;True;False
2023-07-10;2023;7;10;0;191;28;False;True;False
2023-07-11;2023;7;11;1;192;28;False;True;False
2023-07-12;2023;7;12;2;193;28;False;True;False
2023-07-13;2023;7;13;3;194;28;False;True;False
2023-07-14;2023;7;14;4;195;28;False;True;False
2023-07-15;2023;7;15;5;196;28;True;True;False
2023-07-16;2023;7;16;6;197;28;True;True;False
2023-07-17;2023;7;17;0;198;29;False;True;False
2023-07-18;2023;7;18;1;199;29;False;True;False
2023-07-19;2023;7;19;2;200;29;False;True;False
2023-07-20;2023;7;20;3;201;29;False;True;False
2023-07-21;2023;7;21;4;202;29;False;True;False
2023-07-22;2023;7;22;5;203;29;True;True;False
2023-07-23;2023;7;23;6;204;29;True;True;False
2023-07-24;2023;7;24;0;205;30;False;True;False
2023-07-25;2023;7;25;1;206;30;False;True;False
2023-07-26;2023;7;26;2;207;30;False;True;False
2023-07-27;2023;7;27;3;208;30;False;True;False
