latitude;longitude;bright_ti4;acq_date;acq_time;confidence;frp;type
39.86673;26.24295;305.86;2023-01-01;0042;n;'1.38;2
39.86604;26.24479;307.72;2023-01-01;0042;n;'1.25;2
41.26468;31.42146;301.4;2023-01-01;0042;n;'1.67;2
40.18534;29.22251;296.02;2023-01-01;0042;n;'0.32;0
41.01914;28.55519;306.12;2023-01-01;0042;n;'1.86;2
40.75831;29.76107;297.18;2023-01-01;0042;n;'0.68;2
40.75574;31.78132;298.35;2023-01-01;0042;n;'0.81;2
41.25552;31.41172;317.34;2023-01-01;0042;n;'1.52;2
38.7379;26.94279;300.83;2023-01-01;0043;n;'1.48;2
38.75604;26.95025;311.19;2023-01-01;0043;n;'1.49;2
37.00917;40.37518;331.36;2023-01-01;1023;n;'4.13;0
37.00786;40.31604;329.32;2023-01-01;1023;n;'5.35;0
37.00724;40.31161;327.13;2023-01-01;1023;n;'5.35;0
37.01012;40.23361;343.39;2023-01-01;1023;n;'16.53;0
37.00951;40.22921;346.16;2023-01-01;1023;n;'16.53;0
37.03333;40.30143;344.45;2023-01-01;1023;n;'5.54;0
37.03667;40.30071;344.64;2023-01-01;1023;n;'5.54;0
36.8591;39.0743;330.46;2023-01-01;1023;n;'1.75;0
37.03939;40.29556;327.73;2023-01-01;1023;n;'5.49;0
37.04334;40.29926;337.98;2023-01-01;1023;n;'5.49;0
37.04273;40.29483;329.48;2023-01-01;1023;n;'5.49;0
37.03778;40.25943;328.45;2023-01-01;1023;n;'2.68;0
37.03716;40.25501;343.63;2023-01-01;1023;n;'6.85;0
37.08523;40.55172;330.58;2023-01-01;1023;n;'1.92;0
37.07845;40.50251;335.99;2023-01-01;1023;n;'4.18;0
37.08797;40.54653;337.27;2023-01-01;1023;n;'3.27;0
37.08181;40.50179;337.39;2023-01-01;1023;n;'4.77;0
37.13667;40.85236;342.48;2023-01-01;1023;n;'5.76;0
37.05383;40.25139;349.06;2023-01-01;1023;n;'7.28;0
36.97858;39.60744;330.05;2023-01-01;1023;n;'3.42;0
37.14633;40.71204;329.91;2023-01-01;1023;n;'7.27;0
