date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2022-01-01;2022;1;1;5;1;52;True;False;False
2022-01-02;2022;1;2;6;2;52;True;False;False
2022-01-03;2022;1;3;0;3;1;False;False;False
2022-01-04;2022;1;4;1;4;1;False;False;False
2022-01-05;2022;1;5;2;5;1;False;False;False
2022-01-06;2022;1;6;3;6;1;False;False;False
2022-01-07;2022;1;7;4;7;1;False;False;False
2022-01-08;2022;1;8;5;8;1;True;False;False
2022-01-09;2022;1;9;6;9;1;True;False;False
2022-01-10;2022;1;10;0;10;2;False;False;False
2022-01-11;2022;1;11;1;11;2;False;False;False
2022-01-12;2022;1;12;2;12;2;False;False;False
2022-01-13;2022;1;13;3;13;2;False;False;False
2022-01-14;2022;1;14;4;14;2;False;False;False
2022-01-15;2022;1;15;5;15;2;True;False;False
2022-01-16;2022;1;16;6;16;2;True;False;False
2022-01-17;2022;1;17;0;17;3;False;False;False
2022-01-18;2022;1;18;1;18;3;False;False;False
2022-01-19;2022;1;19;2;19;3;False;False;False
2022-01-20;2022;1;20;3;20;3;False;False;False
2022-01-21;2022;1;21;4;21;3;False;False;False
2022-01-22;2022;1;22;5;22;3;True;False;False
2022-01-23;2022;1;23;6;23;3;True;False;False
2022-01-24;2022;1;24;0;24;4;False;False;False
2022-01-25;2022;1;25;1;25;4;False;False;False
2022-01-26;2022;1;26;2;26;4;False;False;False
2022-01-27;2022;1;27;3;27;4;False;False;False
2022-01-28;2022;1;28;4;28;4;False;False;False
2022-01-29;2022;1;29;5;29;4;True;False;False
2022-01-30;2022;1;30;6;30;4;True;False;False
2022-01-31;2022;1;31;0;31;5;False;False;False
2022-02-01;2022;2;1;1;32;5;False;False;False
2022-02-02;2022;2;2;2;33;5;False;False;False
2022-02-03;2022;2;3;3;34;5;False;False;False
2022-02-04;2022;2;4;4;35;5;False;False;False
2022-02-05;2022;2;5;5;36;5;True;False;False
2022-02-06;2022;2;6;6;37;5;True;False;False
2022-02-07;2022;2;7;0;38;6;False;False;False
2022-02-08;2022;2;8;1;39;6;False;False;False
2022-02-09;2022;2;9;2;40;6;False;False;False
2022-02-10;2022;2;10;3;41;6;False;False;False
2022-02-11;2022;2;11;4;42;6;False;False;False
2022-02-12;2022;2;12;5;43;6;True;False;False
2022-02-13;2022;2;13;6;44;6;True;False;False
2022-02-14;2022;2;14;0;45;7;False;False;False
2022-02-15;2022;2;15;1;46;7;False;False;False
2022-02-16;2022;2;16;2;47;7;False;False;False
2022-02-17;2022;2;17;3;48;7;False;False;False
2022-02-18;2022;2;18;4;49;7;False;False;False
2022-02-19;2022;2;19;5;50;7;True;False;False
2022-02-20;2022;2;20;6;51;7;True;False;False
2022-02-21;2022;2;21;0;52;8;False;False;False
2022-02-22;2022;2;22;1;53;8;False;False;False
2022-02-23;2022;2;23;2;54;8;False;False;False
2022-02-24;2022;2;24;3;55;8;False;False;False
2022-02-25;2022;2;25;4;56;8;False;False;False
2022-02-26;2022;2;26;5;57;8;True;False;False
2022-02-27;2022;2;27;6;58;8;True;False;False
2022-02-28;2022;2;28;0;59;9;False;False;False
2022-03-01;2022;3;1;1;60;9;False;False;False
2022-03-02;2022;3;2;2;61;9;False;False;False
2022-03-03;2022;3;3;3;62;9;False;False;False
2022-03-04;2022;3;4;4;63;9;False;False;False
2022-03-05;2022;3;5;5;64;9;True;False;False
2022-03-06;2022;3;6;6;65;9;True;False;False
2022-03-07;2022;3;7;0;66;10;False;False;False
2022-03-08;2022;3;8;1;67;10;False;False;False
2022-03-09;2022;3;9;2;68;10;False;False;False
2022-03-10;2022;3;10;3;69;10;False;False;False
2022-03-11;2022;3;11;4;70;10;False;False;False
2022-03-12;2022;3;12;5;71;10;True;False;False
2022-03-13;2022;3;13;6;72;10;True;False;False
2022-03-14;2022;3;14;0;73;11;False;False;False
2022-03-15;2022;3;15;1;74;11;False;False;False
2022-03-16;2022;3;16;2;75;11;False;False;False
2022-03-17;2022;3;17;3;76;11;False;False;False
2022-03-18;2022;3;18;4;77;11;False;False;False
2022-03-19;2022;3;19;5;78;11;True;False;False
2022-03-20;2022;3;20;6;79;11;True;False;False
2022-03-21;2022;3;21;0;80;12;False;False;False
2022-03-22;2022;3;22;1;81;12;False;False;False
2022-03-23;2022;3;23;2;82;12;False;False;False
2022-03-24;2022;3;24;3;83;12;False;False;False
2022-03-25;2022;3;25;4;84;12;False;False;False
2022-03-26;2022;3;26;5;85;12;True;False;False
2022-03-27;2022;3;27;6;86;12;True;False;False
2022-03-28;2022;3;28;0;87;13;False;False;False
2022-03-29;2022;3;29;1;88;13;False;False;False
2022-03-30;2022;3;30;2;89;13;False;False;False
2022-03-31;2022;3;31;3;90;13;False;False;False
2022-04-01;2022;4;1;4;91;13;False;False;False
2022-04-02;2022;4;2;5;92;13;True;False;False
2022-04-03;2022;4;3;6;93;13;True;False;False
2022-04-04;2022;4;4;0;94;14;False;False;False
2022-04-05;2022;4;5;1;95;14;False;False;False
2022-04-06;2022;4;6;2;96;14;False;False;False
2022-04-07;2022;4;7;3;97;14;False;False;False
2022-04-08;2022;4;8;4;98;14;False;False;False
2022-04-09;2022;4;9;5;99;14;True;False;False
2022-04-10;2022;4;10;6;100;14;True;False;False
2022-04-11;2022;4;11;0;101;15;False;False;False
2022-04-12;2022;4;12;1;102;15;False;False;False
2022-04-13;2022;4;13;2;103;15;False;False;False
2022-04-14;2022;4;14;3;104;15;False;False;False
2022-04-15;2022;4;15;4;105;15;False;False;False
2022-04-16;2022;4;16;5;106;15;True;False;False
2022-04-17;2022;4;17;6;107;15;True;False;False
2022-04-18;2022;4;18;0;108;16;False;False;False
2022-04-19;2022;4;19;1;109;16;False;False;False
2022-04-20;2022;4;20;2;110;16;False;False;False
2022-04-21;2022;4;21;3;111;16;False;False;False
2022-04-22;2022;4;22;4;112;16;False;False;False
2022-04-23;2022;4;23;5;113;16;True;False;False
2022-04-24;2022;4;24;6;114;16;True;False;False
2022-04-25;2022;4;25;0;115;17;False;False;False
2022-04-26;2022;4;26;1;116;17;False;False;False
2022-04-27;2022;4;27;2;117;17;False;False;False
2022-04-28;2022;4;28;3;118;17;False;False;False
2022-04-29;2022;4;29;4;119;17;False;False;False
2022-04-30;2022;4;30;5;120;17;True;False;False
2022-05-01;2022;5;1;6;121;17;True;False;False
2022-05-02;2022;5;2;0;122;18;False;False;True
2022-05-03;2022;5;3;1;123;18;False;False;True
2022-05-04;2022;5;4;2;124;18;False;False;True
2022-05-05;2022;5;5;3;125;18;False;False;False
2022-05-06;2022;5;6;4;126;18;False;False;False
2022-05-07;2022;5;7;5;127;18;True;False;False
2022-05-08;2022;5;8;6;128;18;True;False;False
2022-05-09;2022;5;9;0;129;19;False;False;False
2022-05-10;2022;5;10;1;130;19;False;False;False
2022-05-11;2022;5;11;2;131;19;False;False;False
2022-05-12;2022;5;12;3;132;19;False;False;False
2022-05-13;2022;5;13;4;133;19;False;False;False
2022-05-14;2022;5;14;5;134;19;True;False;False
2022-05-15;2022;5;15;6;135;19;True;False;False
2022-05-16;2022;5;16;0;136;20;False;False;False
2022-05-17;2022;5;17;1;137;20;False;False;False
2022-05-18;2022;5;18;2;138;20;False;False;False
2022-05-19;2022;5;19;3;139;20;False;False;False
2022-05-20;2022;5;20;4;140;20;False;False;False
2022-05-21;2022;5;21;5;141;20;True;False;False
2022-05-22;2022;5;22;6;142;20;True;False;False
2022-05-23;2022;5;23;0;143;21;False;False;False
2022-05-24;2022;5;24;1;144;21;False;False;False
2022-05-25;2022;5;25;2;145;21;False;False;False
2022-05-26;2022;5;26;3;146;21;False;False;False
2022-05-27;2022;5;27;4;147;21;False;False;False
2022-05-28;2022;5;28;5;148;21;True;False;False
2022-05-29;2022;5;29;6;149;21;True;False;False
2022-05-30;2022;5;30;0;150;22;False;False;False
2022-05-31;2022;5;31;1;151;22;False;False;False
2022-06-01;2022;6;1;2;152;22;False;True;False
2022-06-02;2022;6;2;3;153;22;False;True;False
2022-06-03;2022;6;3;4;154;22;False;True;False
