date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2025-01-01;2025;1;1;2;1;1;False;False;False
2025-01-02;2025;1;2;3;2;1;False;False;False
2025-01-03;2025;1;3;4;3;1;False;False;False
2025-01-04;2025;1;4;5;4;1;True;False;False
2025-01-05;2025;1;5;6;5;1;True;False;False
2025-01-06;2025;1;6;0;6;2;False;False;False
2025-01-07;2025;1;7;1;7;2;False;False;False
2025-01-08;2025;1;8;2;8;2;False;False;False
2025-01-09;2025;1;9;3;9;2;False;False;False
2025-01-10;2025;1;10;4;10;2;False;False;False
2025-01-11;2025;1;11;5;11;2;True;False;False
2025-01-12;2025;1;12;6;12;2;True;False;False
2025-01-13;2025;1;13;0;13;3;False;False;False
2025-01-14;2025;1;14;1;14;3;False;False;False
2025-01-15;2025;1;15;2;15;3;False;False;False
2025-01-16;2025;1;16;3;16;3;False;False;False
2025-01-17;2025;1;17;4;17;3;False;False;False
2025-01-18;2025;1;18;5;18;3;True;False;False
2025-01-19;2025;1;19;6;19;3;True;False;False
2025-01-20;2025;1;20;0;20;4;False;False;False
2025-01-21;2025;1;21;1;21;4;False;False;False
2025-01-22;2025;1;22;2;22;4;False;False;False
2025-01-23;2025;1;23;3;23;4;False;False;False
2025-01-24;2025;1;24;4;24;4;False;False;False
2025-01-25;2025;1;25;5;25;4;True;False;False
2025-01-26;2025;1;26;6;26;4;True;False;False
2025-01-27;2025;1;27;0;27;5;False;False;False
2025-01-28;2025;1;28;1;28;5;False;False;False
2025-01-29;2025;1;29;2;29;5;False;False;False
2025-01-30;2025;1;30;3;30;5;False;False;False
2025-01-31;2025;1;31;4;31;5;False;False;False
2025-02-01;2025;2;1;5;32;5;True;False;False
2025-02-02;2025;2;2;6;33;5;True;False;False
2025-02-03;2025;2;3;0;34;6;False;False;False
2025-02-04;2025;2;4;1;35;6;False;False;False
2025-02-05;2025;2;5;2;36;6;False;False;False
2025-02-06;2025;2;6;3;37;6;False;False;False
2025-02-07;2025;2;7;4;38;6;False;False;False
2025-02-08;2025;2;8;5;39;6;True;False;False
2025-02-09;2025;2;9;6;40;6;True;False;False
2025-02-10;2025;2;10;0;41;7;False;False;False
2025-02-11;2025;2;11;1;42;7;False;False;False
2025-02-12;2025;2;12;2;43;7;False;False;False
2025-02-13;2025;2;13;3;44;7;False;False;False
2025-02-14;2025;2;14;4;45;7;False;False;False
2025-02-15;2025;2;15;5;46;7;True;False;False
2025-02-16;2025;2;16;6;47;7;True;False;False
2025-02-17;2025;2;17;0;48;8;False;False;False
2025-02-18;2025;2;18;1;49;8;False;False;False
2025-02-19;2025;2;19;2;50;8;False;False;False
2025-02-20;2025;2;20;3;51;8;False;False;False
2025-02-21;2025;2;21;4;52;8;False;False;False
2025-02-22;2025;2;22;5;53;8;True;False;False
2025-02-23;2025;2;23;6;54;8;True;False;False
2025-02-24;2025;2;24;0;55;9;False;False;False
2025-02-25;2025;2;25;1;56;9;False;False;False
2025-02-26;2025;2;26;2;57;9;False;False;False
2025-02-27;2025;2;27;3;58;9;False;False;False
2025-02-28;2025;2;28;4;59;9;False;False;False
2025-03-01;2025;3;1;5;60;9;True;False;False
2025-03-02;2025;3;2;6;61;9;True;False;False
2025-03-03;2025;3;3;0;62;10;False;False;False
2025-03-04;2025;3;4;1;63;10;False;False;False
2025-03-05;2025;3;5;2;64;10;False;False;False
2025-03-06;2025;3;6;3;65;10;False;False;False
2025-03-07;2025;3;7;4;66;10;False;False;False
2025-03-08;2025;3;8;5;67;10;True;False;False
2025-03-09;2025;3;9;6;68;10;True;False;False
2025-03-10;2025;3;10;0;69;11;False;False;False
2025-03-11;2025;3;11;1;70;11;False;False;False
2025-03-12;2025;3;12;2;71;11;False;False;False
2025-03-13;2025;3;13;3;72;11;False;False;False
2025-03-14;2025;3;14;4;73;11;False;False;False
2025-03-15;2025;3;15;5;74;11;True;False;False
2025-03-16;2025;3;16;6;75;11;True;False;False
2025-03-17;2025;3;17;0;76;12;False;False;False
2025-03-18;2025;3;18;1;77;12;False;False;False
2025-03-19;2025;3;19;2;78;12;False;False;False
2025-03-20;2025;3;20;3;79;12;False;False;False
2025-03-21;2025;3;21;4;80;12;False;False;False
2025-03-22;2025;3;22;5;81;12;True;False;False
2025-03-23;2025;3;23;6;82;12;True;False;False
2025-03-24;2025;3;24;0;83;13;False;False;False
2025-03-25;2025;3;25;1;84;13;False;False;False
2025-03-26;2025;3;26;2;85;13;False;False;False
2025-03-27;2025;3;27;3;86;13;False;False;False
2025-03-28;2025;3;28;4;87;13;False;False;False
2025-03-29;2025;3;29;5;88;13;True;False;False
2025-03-30;2025;3;30;6;89;13;True;False;False
2025-03-31;2025;3;31;0;90;14;False;False;True
2025-04-01;2025;4;1;1;91;14;False;False;True
2025-04-02;2025;4;2;2;92;14;False;False;True
2025-04-03;2025;4;3;3;93;14;False;False;False
2025-04-04;2025;4;4;4;94;14;False;False;False
2025-04-05;2025;4;5;5;95;14;True;False;False
2025-04-06;2025;4;6;6;96;14;True;False;False
2025-04-07;2025;4;7;0;97;15;False;False;False
2025-04-08;2025;4;8;1;98;15;False;False;False
2025-04-09;2025;4;9;2;99;15;False;False;False
2025-04-10;2025;4;10;3;100;15;False;False;False
2025-04-11;2025;4;11;4;101;15;False;False;False
2025-04-12;2025;4;12;5;102;15;True;False;False
2025-04-13;2025;4;13;6;103;15;True;False;False
2025-04-14;2025;4;14;0;104;16;False;False;False
2025-04-15;2025;4;15;1;105;16;False;False;False
2025-04-16;2025;4;16;2;106;16;False;False;False
2025-04-17;2025;4;17;3;107;16;False;False;False
2025-04-18;2025;4;18;4;108;16;False;False;False
2025-04-19;2025;4;19;5;109;16;True;False;False
2025-04-20;2025;4;20;6;110;16;True;False;False
2025-04-21;2025;4;21;0;111;17;False;False;False
2025-04-22;2025;4;22;1;112;17;False;False;False
2025-04-23;2025;4;23;2;113;17;False;False;False
2025-04-24;2025;4;24;3;114;17;False;False;False
2025-04-25;2025;4;25;4;115;17;False;False;False
2025-04-26;2025;4;26;5;116;17;True;False;False
2025-04-27;2025;4;27;6;117;17;True;False;False
2025-04-28;2025;4;28;0;118;18;False;False;False
2025-04-29;2025;4;29;1;119;18;False;False;False
2025-04-30;2025;4;30;2;120;18;False;False;False
2025-05-01;2025;5;1;3;121;18;False;False;False
2025-05-02;2025;5;2;4;122;18;False;False;False
2025-05-03;2025;5;3;5;123;18;True;False;False
2025-05-04;2025;5;4;6;124;18;True;False;False
2025-05-05;2025;5;5;0;125;19;False;False;False
2025-05-06;2025;5;6;1;126;19;False;False;False
2025-05-07;2025;5;7;2;127;19;False;False;False
2025-05-08;2025;5;8;3;128;19;False;False;False
2025-05-09;2025;5;9;4;129;19;False;False;False
2025-05-10;2025;5;10;5;130;19;True;False;False
2025-05-11;2025;5;11;6;131;19;True;False;False
2025-05-12;2025;5;12;0;132;20;False;False;False
2025-05-13;2025;5;13;1;133;20;False;False;False
2025-05-14;2025;5;14;2;134;20;False;False;False
2025-05-15;2025;5;15;3;135;20;False;False;False
2025-05-16;2025;5;16;4;136;20;False;False;False
2025-05-17;2025;5;17;5;137;20;True;False;False
2025-05-18;2025;5;18;6;138;20;True;False;False
2025-05-19;2025;5;19;0;139;21;False;False;False
2025-05-20;2025;5;20;1;140;21;False;False;False
2025-05-21;2025;5;21;2;141;21;False;False;False
2025-05-22;2025;5;22;3;142;21;False;False;False
2025-05-23;2025;5;23;4;143;21;False;False;False
2025-05-24;2025;5;24;5;144;21;True;False;False
