date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2024-01-01;2024;1;1;0;1;1;False;False;False
2024-01-02;2024;1;2;1;2;1;False;False;False
2024-01-03;2024;1;3;2;3;1;False;False;False
2024-01-04;2024;1;4;3;4;1;False;False;False
2024-01-05;2024;1;5;4;5;1;False;False;False
2024-01-06;2024;1;6;5;6;1;True;False;False
2024-01-07;2024;1;7;6;7;1;True;False;False
2024-01-08;2024;1;8;0;8;2;False;False;False
2024-01-09;2024;1;9;1;9;2;False;False;False
2024-01-10;2024;1;10;2;10;2;False;False;False
2024-01-11;2024;1;11;3;11;2;False;False;False
2024-01-12;2024;1;12;4;12;2;False;False;False
2024-01-13;2024;1;13;5;13;2;True;False;False
2024-01-14;2024;1;14;6;14;2;True;False;False
2024-01-15;2024;1;15;0;15;3;False;False;False
2024-01-16;2024;1;16;1;16;3;False;False;False
2024-01-17;2024;1;17;2;17;3;False;False;False
2024-01-18;2024;1;18;3;18;3;False;False;False
2024-01-19;2024;1;19;4;19;3;False;False;False
2024-01-20;2024;1;20;5;20;3;True;False;False
2024-01-21;2024;1;21;6;21;3;True;False;False
2024-01-22;2024;1;22;0;22;4;False;False;False
2024-01-23;2024;1;23;1;23;4;False;False;False
2024-01-24;2024;1;24;2;24;4;False;False;False
2024-01-25;2024;1;25;3;25;4;False;False;False
2024-01-26;2024;1;26;4;26;4;False;False;False
2024-01-27;2024;1;27;5;27;4;True;False;False
2024-01-28;2024;1;28;6;28;4;True;False;False
2024-01-29;2024;1;29;0;29;5;False;False;False
2024-01-30;2024;1;30;1;30;5;False;False;False
2024-01-31;2024;1;31;2;31;5;False;False;False
2024-02-01;2024;2;1;3;32;5;False;False;False
2024-02-02;2024;2;2;4;33;5;False;False;False
2024-02-03;2024;2;3;5;34;5;True;False;False
2024-02-04;2024;2;4;6;35;5;True;False;False
2024-02-05;2024;2;5;0;36;6;False;False;False
2024-02-06;2024;2;6;1;37;6;False;False;False
