latitude;longitude;bright_ti4;acq_date;acq_time;confidence;frp;type
36.70676;39.0919;335.41;2024-01-01;0940;n;'2.83;0
37.23625;40.28993;341.68;2024-01-01;0940;n;'5.80;0
37.23167;40.29158;328.26;2024-01-01;0940;n;'4.33;0
37.162;40.02576;333.44;2024-01-01;0940;n;'10.20;0
37.16355;40.03212;341.91;2024-01-01;0940;n;'10.20;0
37.17569;40.0416;325.39;2024-01-01;0940;n;'3.70;0
37.23455;40.291;345.91;2024-01-01;0940;n;'7.66;0
37.16806;40.03074;327.74;2024-01-01;0940;n;'6.28;0
37.1619;40.02611;332.6;2024-01-01;0940;n;'8.10;0
37.16341;40.03248;342.58;2024-01-01;0940;n;'6.28;0
36.89372;38.94619;325.78;2024-01-01;0940;n;'2.63;0
37.21119;40.33963;332.63;2024-01-01;0940;n;'3.07;0
37.00922;40.36415;339.5;2024-01-01;0940;n;'7.30;0
36.98861;40.29803;333.1;2024-01-01;0940;n;'3.18;0
37.03028;40.49582;327.37;2024-01-01;0940;n;'4.12;0
37.03169;40.50186;350.34;2024-01-01;0940;n;'10.23;0
36.9923;40.37691;339.84;2024-01-01;0940;n;'6.85;0
36.7489;39.39188;331.48;2024-01-01;0940;n;'3.43;0
36.979;40.34187;340.44;2024-01-01;0940;n;'7.34;0
37.127;41.0976;327.88;2024-01-01;0940;n;'4.45;0
37.11166;41.17507;345.71;2024-01-01;0940;n;'6.70;0
37.10595;41.17101;329.01;2024-01-01;0940;n;'5.79;0
37.10726;41.17659;339.71;2024-01-01;0940;n;'11.10;0
37.10919;41.17202;336.19;2024-01-01;0940;n;'8.22;0
37.11046;41.17761;338.63;2024-01-01;0940;n;'8.22;0
37.10479;41.17355;326.71;2024-01-01;0940;n;'8.22;0
37.09613;40.67267;329.18;2024-01-01;0940;n;'2.93;0
37.10064;40.67102;325.93;2024-01-01;0940;n;'3.62;0
37.02904;40.36367;334.23;2024-01-01;0940;n;'3.74;0
37.00924;40.31535;338.53;2024-01-01;0940;n;'4.10;0
37.24223;40.67933;331.95;2024-01-01;0940;n;'3.57;0
36.70506;39.09126;337.27;2024-01-01;0940;n;'2.51;0
37.09917;40.66911;341.95;2024-01-01;0940;n;'9.27;0
37.03172;40.36703;335.19;2024-01-01;0940;n;'5.19;0
37.11658;40.70118;327.65;2024-01-01;0940;n;'3.27;0
37.05555;40.42472;337.9;2024-01-01;0940;n;'10.89;0
37.05408;40.41861;335.06;2024-01-01;0940;n;'10.89;0
36.7983;39.3755;326.79;2024-01-01;0940;n;'2.24;0
36.79742;39.37199;333.16;2024-01-01;0940;n;'2.24;0
37.09085;40.51028;339.59;2024-01-01;0940;n;'5.16;0
37.05171;40.3464;337.79;2024-01-01;0940;n;'4.72;0
37.03712;40.26475;326.96;2024-01-01;0940;n;'4.80;0
37.06017;40.25632;337.79;2024-01-01;0940;n;'9.77;0
37.05869;40.25014;340.75;2024-01-01;0940;n;'12.25;0
37.13258;40.5407;355.17;2024-01-01;0940;n;'16.30;0
37.08679;40.34713;329.71;2024-01-01;0940;n;'3.72;0
37.15532;40.61655;344.71;2024-01-01;0940;n;'6.16;0
37.13711;40.53904;354.96;2024-01-01;0940;n;'16.30;0
37.08703;40.32714;341.71;2024-01-01;0940;n;'9.84;0
37.10747;40.39243;344.3;2024-01-01;0940;n;'8.33;0
37.12665;40.43167;337.97;2024-01-01;0940;n;'7.50;0
36.8637;39.33989;338.86;2024-01-01;0940;n;'2.72;0
37.13975;40.46634;337.82;2024-01-01;0940;n;'5.75;0
37.13833;40.46029;327.96;2024-01-01;0940;n;'4.80;0
37.16255;40.54264;334.88;2024-01-01;0940;n;'5.38;0
37.14288;40.4586;331.58;2024-01-01;0940;n;'4.33;0
37.14516;40.40499;339.24;2024-01-01;0940;n;'5.45;0
37.1681;40.48204;331.23;2024-01-01;0940;n;'3.85;0
37.14221;40.40442;339.94;2024-01-01;0940;n;'7.03;0
37.2333;40.76497;326.21;2024-01-01;0940;n;'3.70;0
37.12775;40.32386;326.88;2024-01-01;0940;n;'4.67;0
37.17018;40.47959;331.67;2024-01-01;0940;n;'3.92;0
37.17951;40.45658;327.31;2024-01-01;0940;n;'4.73;0
